,importance
dxy_ret1,0.1968417305846413
dxy_ma5,0.05631539584270793
dxy_ma10,0.023143050304294817
dxy_bb_pos,0.018883406336320435
target_ma10,0.017796010308609615
bench_ret1,0.016872076834177772
dxy_ret5,0.016870955974733905
target_ma5,0.016695865304232217
target_ret5,0.016481653505551058
tnx_ret1,0.016313041748707433
wti_ret1,0.013610328002460809
dxy_ma20,0.012441822236227298
vix_ret1,0.012422776735763199
target_ret1,0.012378991063144737
target_ma20,0.012013497172234346
target_ma60,0.011549361192269698
target_ret10,0.011389554440417522
target_bb_pos,0.009765748495767114
gold_ret1,0.00974608232864634
target_ret60,0.009312925538487577
corr_bench_60,0.007835548441246355
target_ret20,0.007614644896003256
dxy_ret10,0.0071893643256283665
target_macd,0.006863141242609834
dxy_rsi14,0.0068118074012684495
target_rsi14,0.006662240896158985
corr_dxy_20,0.006408650661945843
tnx_vol5,0.0061160367048205
corr_bench_20,0.005986525412548405
corr_dxy_60,0.005971580709041966
bench_ret60,0.005925620612489735
gold_ma5,0.005702581869424995
dxy_ret20,0.005444696901944497
corr_wti_20,0.005244081574227211
corr_tnx_60,0.005238846011483913
gold_ma10,0.005110668518890744
corr_wti_60,0.005039308261548954
vix_ma60,0.005024167845781776
bench_ma5,0.004993752821866459
dxy_ret60,0.004942641972862775
tnx_ma5,0.0049174019733830175
dxy_atr14,0.004871782547859321
target_vol5,0.004848640635949334
bench_ma20,0.004844672466768191
dxy_ma60,0.004787310069500622
target_macdsig,0.004771923956934955
dxy_macd,0.004763182438974285
wti_ret60,0.004746678346754869
vix_atr14,0.004739354748864498
target_atr14,0.004721916747314222
vix_ma5,0.004706757888868192
tnx_atr14,0.004632100038814075
corr_gold_60,0.004622813789401253
gold_bb_pos,0.004622263654483856
wti_macdsig,0.004573347358033707
bench_ret10,0.004567413923029003
vix_ma10,0.0045555729382189296
gold_vol5,0.004518947489575624
corr_vix_60,0.004475631180136278
wti_ma5,0.0044622043559204025
wti_vol10,0.004455953210480651
vix_bb_pos,0.0044050771612347064
vix_ret10,0.004354196806618415
target_vol10,0.004318621524494376
target_vol20,0.0042851456662124365
dxy_vol10,0.00421547252983055
bench_vol60,0.004212733986133512
vix_ret20,0.004204263668622677
corr_gold_20,0.004156838061318454
gold_ret60,0.0041284067444081465
dxy_vol5,0.0041174751444883724
vix_ma20,0.0041100484394539245
bench_ret5,0.004087690551540758
wti_ma10,0.00405201533299574
corr_tnx_20,0.004051402153973544
corr_vix_20,0.004009334701441874
wti_ret10,0.003996606586180005
wti_rsi14,0.00399532399648671
dxy_macdsig,0.003983627973408904
bench_bb_pos,0.003976274057965319
gold_ret20,0.003962538948974253
wti_ma20,0.003923086851769874
tnx_bb_pos,0.0038985325025591108
vix_ret5,0.00388130117003834
vix_vol5,0.00386628293398241
tnx_ma60,0.0038302569047195803
tnx_vol10,0.0038110151433465773
wti_ret20,0.0037979388944475315
gold_vol20,0.0037958562808886554
bench_rsi14,0.003760883994724359
vix_vol10,0.0037247308119647744
gold_ma20,0.0037052790629348146
target_vol60,0.003704770284894509
bench_ma60,0.003699842908282939
vix_vol20,0.0035914030250979003
tnx_vol60,0.003587955932027817
gold_ret5,0.00355664140622016
vix_vol60,0.0035366911060583026
tnx_ret20,0.003533479948119568
wti_ret5,0.003487666939806995
wti_bb_pos,0.0034849904551312308
vix_macd,0.0034799363535433113
gold_macd,0.0034690040326729164
vix_rsi14,0.00342777263491794
gold_macdsig,0.0033978303670924616
bench_ma10,0.0033819056716330982
gold_atr14,0.003376916549076993
bench_vol20,0.003354873082955743
tnx_vol20,0.003353542504558657
tnx_macdsig,0.003346410706588984
tnx_ret5,0.003327104761413427
gold_ma60,0.003311535993345701
tnx_ret10,0.0033101571049894613
tnx_ma10,0.003309345618761178
gold_ret10,0.0032960736814545088
dxy_vol60,0.0032917425513341245
bench_ret20,0.003273145918929373
wti_vol60,0.0032179245578015207
gold_vol10,0.0032109232842300606
wti_macd,0.003205643841739522
gold_vol60,0.0031949573825681156
dxy_vol20,0.0031546630282292625
wti_ma60,0.003137685413138016
tnx_ret60,0.0031189068049618175
tnx_ma20,0.003067476238492091
bench_vol10,0.0029676353048195977
vix_ret60,0.0029203305837666787
wti_vol20,0.002877284730530542
wti_vol5,0.0027961563719592496
tnx_rsi14,0.0027711000412520646
vix_macdsig,0.0026672232825573983
bench_vol5,0.002650239442502696
bench_macdsig,0.0026346768306496566
bench_macd,0.0026220251711717504
wti_atr14,0.0025765762249255336
tnx_macd,0.002518756325931361
bench_atr14,0.0025088922664229145
gold_rsi14,0.0024958739558307887
